YEAR,STATE,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1991,CT,Natural Gas,"1,571,856",,,,,,
1991,CT,Nuclear,"12,242,911",,,,,,
1991,CT,Other,0,,,,,,
1991,CT,Other Biomass,"1,162,621",,,,,,
1991,CT,Other Gases,"2,646",,,,,,
1991,CT,Petroleum,"7,993,224",,,,,,
1991,CT,Pumped Storage,"-3,556",,,,,,
1991,DC,Total,"179,814",,,,,,
1991,DC,Coal,0,,,,,,
1991,DC,Petroleum,"179,814",,,,,,
1991,DE,Total,"7,838,132",,,,,,
1991,DE,Coal,"4,820,759",,,,,,
1991,DE,Natural Gas,"1,110,236",,,,,,
1991,DE,Other,"6,315",,,,,,
1991,DE,Other Gases,0,,,,,,
1991,DE,Petroleum,"1,900,822",,,,,,
1991,FL,Total,"139,416,689",,,,,,
1991,FL,Coal,"62,013,484",,,,,,
1991,FL,Hydroelectric Conventional,"263,066",,,,,,
1991,FL,Natural Gas,"19,758,810",,,,,,
1991,FL,Nuclear,"20,507,569",,,,,,
1991,FL,Other,"1,917,539",,,,,,
1991,FL,Other Biomass,"2,259,842",,,,,,
1991,FL,Other Gases,"10,292",,,,,,
1991,FL,Petroleum,"30,599,959",,,,,,
1991,FL,Wood and Wood Derived Fuels,"2,086,128",,,,,,
1991,GA,Total,"96,173,131",,,,,,
1991,GA,Coal,"61,034,072",,,,,,
1991,GA,Hydroelectric Conventional,"4,232,058",,,,,,
1991,GA,Natural Gas,"809,826",,,,,,
1991,GA,Nuclear,"26,016,023",,,,,,
1991,GA,Other,431,,,,,,
1991,GA,Other Biomass,"65,788",,,,,,
1991,GA,Petroleum,"541,032",,,,,,
1991,GA,Pumped Storage,"432,291",,,,,,
1991,GA,Wood and Wood Derived Fuels,"3,041,610",,,,,,
1991,HI,Total,"8,703,235",,,,,,
1991,HI,Coal,"7,612",,,,,,
1991,HI,Hydroelectric Conventional,"70,988",,,,,,
1991,HI,Other Biomass,"823,082",,,,,,
1991,HI,Other Gases,"51,479",,,,,,
1991,HI,Petroleum,"7,714,453",,,,,,
1991,HI,Wind,"35,621",,,,,,
1991,IA,Total,"32,267,856",,,,,,
1991,IA,Coal,"26,756,771",,,,,,
1991,IA,Hydroelectric Conventional,"901,111",,,,,,
1991,IA,Natural Gas,"388,004",,,,,,
1991,IA,Nuclear,"4,146,811",,,,,,
1991,IA,Other Biomass,"25,267",,,,,,
